model_name,n_samples,n_benign,n_attack,threshold,roc_auc,auprc,score_mean_benign,score_mean_attack,score_std_benign,score_std_attack,accuracy,precision,recall,f1,fpr,tp,fp,tn,fn
BaseNormalAutoEncoder @ p90.0,43282,28023,15259,1.2192796468734741,0.7559246930090804,0.7708242832295144,1.0061135292053223,1.6695152521133423,0.22789980471134186,0.8312047719955444,0.8117000138625756,0.7816784214280054,0.6464381676387706,0.7076547815481742,0.09831210077436392,9864,2755,25268,5395
BaseNormalAutoEncoder @ p90.0 [direct_injection],41610,28023,13587,1.2192796468734741,0.7366184509285829,0.739881211798815,1.0061135292053223,1.6279717683792114,0.22789980471134186,0.5936464667320251,0.811127132900745,0.7548496173696387,0.6243468020902333,0.6834239677744209,0.09831210077436392,8483,2755,25268,5104
BaseNormalAutoEncoder @ p90.0 [indirect_injection],28863,28023,840,1.2192796468734741,0.9345294171624328,0.5096583321277884,1.0061135292053223,1.9111356735229492,0.22789980471134186,0.39348936080932617,0.9002529189619929,0.2062806107749928,0.8523809523809524,0.33217350962653674,0.09831210077436392,716,2755,25268,124
BaseNormalAutoEncoder @ p90.0 [jailbreak],28855,28023,832,1.2192796468734741,0.8908837589452621,0.6554843258559911,1.0061135292053223,2.104001522064209,0.22789980471134186,2.5463428497314453,0.8987350545832611,0.19444444444444445,0.7992788461538461,0.312793979303857,0.09831210077436392,665,2755,25268,167
BaseNormalAutoEncoder @ p95.0,43282,28023,15259,1.309858798980713,0.7559246930090804,0.7708242832295144,1.0061135292053223,1.6695152521133423,0.22789980471134186,0.8312047719955444,0.8394020609029158,0.872288940670371,0.637853070319156,0.7368739826626793,0.05085108660742961,9733,1425,26598,5526
BaseNormalAutoEncoder @ p95.0 [direct_injection],41610,28023,13587,1.309858798980713,0.7366184509285829,0.739881211798815,1.0061135292053223,1.6279717683792114,0.22789980471134186,0.5936464667320251,0.8408315308819995,0.8547992663541879,0.6174284242290424,0.7169779069270544,0.05085108660742961,8389,1425,26598,5198
BaseNormalAutoEncoder @ p95.0 [indirect_injection],28863,28023,840,1.309858798980713,0.9345294171624328,0.5096583321277884,1.0061135292053223,1.9111356735229492,0.22789980471134186,0.39348936080932617,0.9457090392544087,0.32878002826189356,0.830952380952381,0.4711441106986163,0.05085108660742961,698,1425,26598,142
BaseNormalAutoEncoder @ p95.0 [jailbreak],28855,28023,832,1.309858798980713,0.8908837589452621,0.6554843258559911,1.0061135292053223,2.104001522064209,0.22789980471134186,2.5463428497314453,0.944169121469416,0.3119266055045872,0.7764423076923077,0.44505683775404753,0.05085108660742961,646,1425,26598,186
BaseNormalAutoEncoder @ p97.5,43282,28023,15259,1.5434093475341797,0.7559246930090804,0.7708242832295144,1.0061135292053223,1.6695152521133423,0.22789980471134186,0.8312047719955444,0.8537498267178042,0.9353486104339347,0.6286126220591126,0.751900917143529,0.02365913713735146,9592,663,27360,5667
BaseNormalAutoEncoder @ p97.5 [direct_injection],41610,28023,13587,1.5434093475341797,0.7366184509285829,0.739881211798815,1.0061135292053223,1.6279717683792114,0.22789980471134186,0.5936464667320251,0.8566931026195626,0.9259217877094972,0.6099212482520056,0.7354128766029197,0.02365913713735146,8287,663,27360,5300
