model_name,n_samples,n_benign,n_attack,threshold,roc_auc,auprc,score_mean_benign,score_mean_attack,score_std_benign,score_std_attack,accuracy,precision,recall,f1,fpr,tp,fp,tn,fn
BaseNormalAutoEncoder @ p90.0,54162,35197,18965,0.8092485070228577,0.7558119621096042,0.7687862098756335,1.0063341856002808,1.6676411628723145,0.22813749313354492,0.8047108054161072,0.4034193715150844,0.35894997146661595,0.8954916952280517,0.5124777452548357,0.8617211694178482,16983,30330,4867,1982
BaseNormalAutoEncoder @ p90.0 [direct_injection],52090,35197,16893,0.8092485070228577,0.7367499814210102,0.7379940191812546,1.0063341856002808,1.6272310018539429,0.22813749313354492,0.5936350226402283,0.38020733346131697,0.32999028010956966,0.884271591783579,0.48062289860201735,0.8617211694178482,14938,30330,4867,1955
BaseNormalAutoEncoder @ p90.0 [indirect_injection],36251,35197,1054,0.8092485070228577,0.9298072831483233,0.4959856141117108,1.0063341856002808,1.8961714506149292,0.22813749313354492,0.4070352017879486,0.16330583983890098,0.03355319759105248,0.9990512333965844,0.06492585627524124,0.8617211694178482,1053,30330,4867,1
BaseNormalAutoEncoder @ p90.0 [jailbreak],36215,35197,1018,0.8092485070228577,0.8919838397103969,0.6554841648360872,1.0063341856002808,2.1016080379486084,0.22813749313354492,2.403103828430176,0.16178379124672096,0.031671029947002105,0.9744597249508841,0.06134817563388992,0.8617211694178482,992,30330,4867,26
BaseNormalAutoEncoder @ p95.0,54162,35197,18965,0.9769102931022644,0.7558119621096042,0.7687862098756335,1.0063341856002808,1.6676411628723145,0.22813749313354492,0.8047108054161072,0.573317085779698,0.43564663872069553,0.7397838122857896,0.5483681844830955,0.5163792368667784,14030,18175,17022,4935
BaseNormalAutoEncoder @ p95.0 [direct_injection],52090,35197,16893,0.9769102931022644,0.7367499814210102,0.7379940191812546,1.0063341856002808,1.6272310018539429,0.22813749313354492,0.5936350226402283,0.5591476291034747,0.3997490009577595,0.7165097969573196,0.5131857881794285,0.5163792368667784,12104,18175,17022,4789
BaseNormalAutoEncoder @ p95.0 [indirect_injection],36251,35197,1054,0.9769102931022644,0.9298072831483233,0.4959856141117108,1.0063341856002808,1.8961714506149292,0.22813749313354492,0.4070352017879486,0.4974207608065984,0.05264529580401355,0.9582542694497154,0.09980730273234843,0.5163792368667784,1010,18175,17022,44
BaseNormalAutoEncoder @ p95.0 [jailbreak],36215,35197,1018,0.9769102931022644,0.8919838397103969,0.6554841648360872,1.0063341856002808,2.1016080379486084,0.22813749313354492,2.403103828430176,0.49531961894242715,0.047980723901314755,0.899803536345776,0.09110348600129295,0.5163792368667784,916,18175,17022,102
BaseNormalAutoEncoder @ p97.5,54162,35197,18965,1.1660865545272827,0.7558119621096042,0.7687862098756335,1.0063341856002808,1.6676411628723145,0.22813749313354492,0.8047108054161072,0.7806949521804956,0.7008672977722351,0.651937780121276,0.675517674698137,0.14992755064352076,12364,5277,29920,6601
BaseNormalAutoEncoder @ p97.5 [direct_injection],52090,35197,16893,1.1660865545272827,0.7367499814210102,0.7379940191812546,1.0063341856002808,1.6272310018539429,0.22813749313354492,0.5936350226402283,0.778479554617009,0.6682801106361579,0.6293139170070443,0.6482119447577818,0.14992755064352076,10631,5277,29920,6262
BaseNormalAutoEncoder @ p97.5 [indirect_injection],36251,35197,1054,1.1660865545272827,0.9298072831483233,0.4959856141117108,1.0063341856002808,1.8961714506149292,0.22813749313354492,0.4070352017879486,0.8499903450939285,0.14473257698541328,0.8472485768500949,0.2472314507198228,0.14992755064352076,893,5277,29920,161
BaseNormalAutoEncoder @ p97.5 [jailbreak],36215,35197,1018,1.1660865545272827,0.8919838397103969,0.6554841648360872,1.0063341856002808,2.1016080379486084,0.22813749313354492,2.403103828430176,0.8493718072621842,0.1373222167729279,0.825147347740668,0.23545900490539592,0.14992755064352076,840,5277,29920,178
BaseNormalAutoEncoder @ p99.0,54162,35197,18965,2.0624585151672363,0.7558119621096042,0.7687862098756335,1.0063341856002808,1.6676411628723145,0.22813749313354492,0.8047108054161072,0.8297699494110262,0.9550761184271972,0.5392037964671764,0.6892693448368833,0.013665937437849817,10226,481,34716,8739
BaseNormalAutoEncoder @ p99.0 [direct_injection],52090,35197,16893,2.0624585151672363,0.7367499814210102,0.7379940191812546,1.0063341856002808,1.6272310018539429,0.22813749313354492,0.5936350226402283,0.8355538491073142,0.9482183227473355,0.5213993961996093,0.672828660912077,0.013665937437849817,8808,481,34716,8085
BaseNormalAutoEncoder @ p99.0 [indirect_injection],36251,35197,1054,2.0624585151672363,0.9298072831483233,0.4959856141117108,1.0063341856002808,1.8961714506149292,0.22813749313354492,0.4070352017879486,0.9781799122782819,0.6073469387755102,0.7058823529411765,0.652917946467749,0.013665937437849817,744,481,34716,310
BaseNormalAutoEncoder @ p99.0 [jailbreak],36215,35197,1018,2.0624585151672363,0.8919838397103969,0.6554841648360872,1.0063341856002808,2.1016080379486084,0.22813749313354492,2.403103828430176,0.9772193842330527,0.5835497835497836,0.6620825147347741,0.6203405430280718,0.013665937437849817,674,481,34716,344
BaseNormalAutoEncoder @ youden_j,54162,35197,18965,1.4257466793060303,0.7558119621096042,0.7687862098756335,1.0063341856002808,1.6676411628723145,0.22813749313354492,0.8047108054161072,0.851722609947934,0.9199569826394224,0.6314790403374637,0.7488978519838664,0.029604795863283802,11976,1042,34155,6989
BaseNormalAutoEncoder @ youden_j [direct_injection],52090,35197,16893,1.4257466793060303,0.7367499814210102,0.7379940191812546,1.0063341856002808,1.6272310018539429,0.22813749313354492,0.5936350226402283,0.8543098483394126,0.9085001756234633,0.6124430237376428,0.7316572964180899,0.029604795863283802,10346,1042,34155,6547
BaseNormalAutoEncoder @ youden_j [indirect_injection],36251,35197,1054,1.4257466793060303,0.9298072831483233,0.4959856141117108,1.0063341856002808,1.8961714506149292,0.22813749313354492,0.4070352017879486,0.9656009489393396,0.4489687995769434,0.8055028462998103,0.5765704584040747,0.029604795863283802,849,1042,34155,205
BaseNormalAutoEncoder @ youden_j [jailbreak],36215,35197,1018,1.4257466793060303,0.8919838397103969,0.6554841648360872,1.0063341856002808,2.1016080379486084,0.22813749313354492,2.403103828430176,0.9646831423443325,0.42841470104223806,0.7671905697445972,0.5498064061950018,0.029604795863283802,781,1042,34155,237
