std_multiplier,candidate_low_threshold,attacks_bypassed,attacks_bypassed_pct,benign_fast_pathed,benign_fast_pathed_pct
0.0,1.0069705247879028,1103,0.3000544069640914,3952,0.5508781711736828
0.1,1.0292880058288574,1177,0.32018498367791076,4327,0.6031502648452746
0.2,1.051605486869812,1223,0.3326985854189336,4681,0.6524951212712573
0.3,1.0739229679107667,1280,0.3482045701849837,5003,0.6973794257039309
0.4,1.0962404489517212,1327,0.36099020674646354,5303,0.7391971006412044
0.5,1.1185579299926758,1360,0.36996735582154516,5593,0.7796208530805687
0.6,1.1408754110336303,1383,0.3762241566920566,5836,0.8134931697797603
0.7,1.1631928920745849,1409,0.38329706202393904,6036,0.8413716197379426
0.8,1.1855103731155396,1426,0.38792165397170836,6234,0.8689712851965431
0.9,1.2078278541564942,1437,0.3909140369967356,6430,0.8962921661555617
1.0,1.2301453351974487,1448,0.3939064200217628,6553,0.9134374128798439
