model_name,n_samples,n_benign,n_attack,threshold,roc_auc,auprc,score_mean_benign,score_mean_attack,score_std_benign,score_std_attack,accuracy,precision,recall,f1,fpr,tp,fp,tn,fn
NormalityAE @ p90.0,54162,35197,18965,0.8111751079559326,0.7379964502613031,0.7517395089919432,1.0064480304718018,1.6854901313781738,0.22197388112545013,0.8611471652984619,0.40133303792326724,0.3583694599941075,0.8979172159240707,0.5122813350781403,0.8662385998806716,17029,30489,4708,1936
NormalityAE @ p90.0 [direct_injection],52090,35197,16893,0.8111751079559326,0.719319024133221,0.7218988633579817,1.0064480304718018,1.647318959236145,0.22197388112545013,0.6410533785820007,0.378153196390862,0.3296026737615163,0.8873497898537855,0.4806644006926185,0.8662385998806716,14990,30489,4708,1903
NormalityAE @ p90.0 [indirect_injection],36251,35197,1054,0.8111751079559326,0.8917489841266985,0.4302715257991437,1.0064480304718018,1.854578971862793,0.22197388112545013,0.5052500367164612,0.15875424126231,0.033200152207001524,0.9933586337760911,0.0642528382939552,0.8662385998806716,1047,30489,4708,7
NormalityAE @ p90.0 [jailbreak],36215,35197,1018,0.8111751079559326,0.8887455552589123,0.6440426570688104,1.0064480304718018,2.143843412399292,0.22197388112545013,2.543165445327759,0.1573933452989093,0.03151107016930847,0.9744597249508841,0.06104803224714606,0.8662385998806716,992,30489,4708,26
NormalityAE @ p95.0,54162,35197,18965,0.965420663356781,0.7379964502613031,0.7517395089919432,1.0064480304718018,1.6854901313781738,0.22197388112545013,0.8611471652984619,0.5490380709722684,0.4180229415650712,0.7340363828104403,0.5326879292861653,0.5506435207546098,13921,19381,15816,5044
NormalityAE @ p95.0 [direct_injection],52090,35197,16893,0.965420663356781,0.719319024133221,0.7218988633579817,1.0064480304718018,1.647318959236145,0.22197388112545013,0.6410533785820007,0.5340564407755807,0.3824560285495794,0.7105309891671107,0.4972554218364853,0.5506435207546098,12003,19381,15816,4890
NormalityAE @ p95.0 [indirect_injection],36251,35197,1054,0.965420663356781,0.8917489841266985,0.4302715257991437,1.0064480304718018,1.854578971862793,0.22197388112545013,0.5052500367164612,0.4636010041102314,0.048598497864611456,0.9392789373814042,0.09241540256709452,0.5506435207546098,990,19381,15816,64
NormalityAE @ p95.0 [jailbreak],36215,35197,1018,0.965420663356781,0.8887455552589123,0.6440426570688104,1.0064480304718018,2.143843412399292,0.22197388112545013,2.543165445327759,0.46234985503244513,0.045694027278546455,0.9115913555992141,0.08702583579500164,0.5506435207546098,928,19381,15816,90
NormalityAE @ p97.5,54162,35197,18965,1.1225100755691528,0.7379964502613031,0.7517395089919432,1.0064480304718018,1.6854901313781738,0.22197388112545013,0.8611471652984619,0.731472249916916,0.6132718421726877,0.6310572106511996,0.6220374220374221,0.21442168366622155,11968,7547,27650,6997
NormalityAE @ p97.5 [direct_injection],52090,35197,16893,1.1225100755691528,0.719319024133221,0.7218988633579817,1.0064480304718018,1.647318959236145,0.22197388112545013,0.6410533785820007,0.7281819927049338,0.5766771370877272,0.6085952761498846,0.5922064456668875,0.21442168366622155,10281,7547,27650,6612
